Code,Title CN,Title EN,Issues
S1-32,像頂尖運動員一樣思考,The Genius of Athletes,Missing ISBN ZH | Author Detailed Bio Missing
S1-33,財務自由之路 李笑來,,Missing Title EN | Missing ISBN EN
S1-34,價值,Value,Missing ISBN EN
S1-35,致富察覺,Rich Mindfulness,Missing ISBN EN | Author Detailed Bio Missing
S1-36,索羅斯的投資哲學,George Soros' Philosophy of Investment,Missing ISBN EN
S1-37,原則,Principles  Crafting Your Life's Guiding Philosophy,OK
S1-38,連結：從石器時代到 AI 紀元,Nexus,OK
S1-39,窮理查的普通常識,Poor Richard's Almanack by BENJAMIN  FRANKLIN,OK
S1-40,認識商業,Understanding Business,Missing ISBN ZH | Author Detailed Bio Missing
S1-41,心流,Flow  Optimal Experiences and the Psychology of Happiness,Author Detailed Bio Missing
S1-42,學習究竟是什麼,New Science of Learning,Missing ISBN EN
S1-43,學習如何學習,Learning How to Learn,Missing ISBN ZH
S1-44,大人的學習法,Mature Learning,Missing ISBN EN | Author Detailed Bio Missing
S1-45,大人的高效獨學法,,Missing Title EN | Missing ISBN EN | Author Detailed Bio Missing
S1-46,50個級學習法 50,Super Learning Methods,Missing ISBN EN | Author Detailed Bio Missing
S1-47,超強記憶學習法,Super Learning,Missing ISBN ZH
S1-48,記憶訓練,Memory Training,Missing ISBN ZH
S1-49,深度思考的技術,Mastering Deeper Thinking,Missing ISBN EN
S1-50,1% 閱讀術 1%,Reading,Missing ISBN EN | Author Detailed Bio Missing
S1-51,閱讀力大全,,Missing Title EN | Missing ISBN EN | Author Detailed Bio Missing
S1-52,雜訊時代的高效資料整理術,,Missing Title EN | Missing ISBN EN | Author Detailed Bio Missing
S1-53,資訊彙整術 - YouTube 頻道主及川幸久的情報收集和表達技巧,,Missing Title EN | Missing ISBN EN | Author Detailed Bio Missing
S1-54,讀懂一本書,,Missing Title EN | Missing ISBN EN
S1-55,你的善良必須更有力量,Deep Kindness,Missing ISBN EN | Author Detailed Bio Missing
S1-56,內心對話的力量,Find Your True Voice  Healing Trauma and Finding Joy,Missing ISBN EN
S1-57,樂觀者的遠見,The Optimist's Telescope  A Vision for the Future,Missing ISBN EN | Author Detailed Bio Missing
S1-58,做個有溫度的人,Heartwarming,Missing ISBN EN | Author Detailed Bio Missing
S1-59,真誠就是你的影響力,The Go-Giver Influencer: A Little Story about a Most Persuasive Idea,Missing ISBN ZH | Author Detailed Bio Missing
S1-60,窮查理的普通常識,Poor Charlie's Almanack,Author Detailed Bio Missing
S1-61,全腦人生,Whole Brain Living,Missing ISBN ZH | Author Detailed Bio Missing
S1-62,打破大腦偽科學,HIRNRISSING,Missing ISBN ZH | Author Detailed Bio Missing
S1-63,同步大腦思維的時間支配術,Your Time   Brain Sync,Missing ISBN EN | Author Detailed Bio Missing
S1-64,我為何會這樣 - MBTI人格類型的16種性格密碼,,Missing Title EN | Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S1-65,拖延心理學,Taming Procrastination,Missing ISBN ZH | Missing ISBN EN
S1-66,自卑與超越,What Life Should Mean To You,Missing ISBN ZH
S1-67,活著覺得麻煩的人,Avoidant Personality,Missing ISBN EN | Author Detailed Bio Missing
S1-68,慣性思維,How do we know Ourselves,Missing ISBN ZH | Author Detailed Bio Missing
S1-69,為什麼我們總是相信自己是對的,Why We're Always So Sure We're Right,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S1-70,重新與人對話,Reclaiming Conversation,Missing ISBN ZH | Author Detailed Bio Missing
S1-71,和這個世界講講道理,Telling Truths to the World,Missing ISBN ZH | Missing ISBN EN
S1-72,有效決策,Cracking Complexity,Missing ISBN ZH
S1-73,工作原力,The IDEA Mindset  Figure Out What You Want From Work and How to Get It,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S1-74,大賭注心態,Big Bets,Missing ISBN ZH
S1-75,決勝視角,Clear Closer Better,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S1-76,協作原則,Collaborhate,Missing ISBN ZH | Author Detailed Bio Missing
S1-77,麥肯錫團隊協作力,McKinsey Team Collaboration,Missing ISBN ZH | Missing ISBN EN
S1-78,精準回饋：提升團隊績效，改善溝通的超能⼒,,Missing Title EN | Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S1-79,你有正確回答問題嗎,Answer Intelligence  Raising Your AQ,Missing ISBN EN
S1-80,你要如何衡量你的人生,How Will You Measure Your Life,Missing ISBN ZH
S1-81,快思慢想,Thinking Fast and Slowl,Missing ISBN ZH | Missing ISBN EN
S1-82,做自己的生命設計師,Designing Your Life,Missing ISBN ZH
S1-83,慷慨的力量,The Power of Generosity,Missing ISBN ZH
S1-84,最有專注力的一年,Focus Project  A Year of Single Mindedness,Missing ISBN ZH | Missing ISBN EN
S1-85,淤泥效應,Sludge,Missing ISBN ZH
S1-86,最高精力管理法,Have More Energy,Missing ISBN ZH
S1-87,科學休息,Rest  Efficient Recovery of Energy,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S1-88,創運思維,Lucky,Missing ISBN EN | Author Detailed Bio Missing
S1-89,領導者該想什麼,Becoming a Technical Leader,Missing ISBN ZH
S1-90,你想成為什麼樣的人,Uncommon Wisdom to Inspire Your Life's Work,Missing ISBN ZH
S1-91,一切都是誘因的問題,The Why Axis,Missing ISBN ZH
S1-92,執行長日記,The Diary of a CEO,Missing ISBN ZH | Author Detailed Bio Missing
S1-93,鋼鐵⼈⾺斯克,Elon Musk   Ashlee Vance,Missing ISBN ZH | Missing ISBN EN
S1-94,馬斯克傳   唯一不設限、全公開傳記,Walter Isaacson,Missing ISBN ZH
S1-95,張忠謀 自傳,Morris Chang Autobiography,Missing ISBN ZH | Missing ISBN EN
S1-96,賈伯斯傳,Steve Jobs The Exclusive Biography by Walter Isaacson,Missing ISBN ZH | Missing ISBN EN
S1-97,貝佐斯傳,The Everything Store   Jeff Bezos and the Age of Amazon,Missing ISBN ZH
S1-98,複利領導,Compounding Leadership,Missing ISBN ZH | Missing ISBN EN
S1-99,超級專案管理,How Big Things Get Done,Missing ISBN ZH | Author Detailed Bio Missing
S1-100,原始碼 成為比爾蓋茲,Source Code My Beginnings   Bill Gates,Missing ISBN ZH | Missing ISBN EN
S2-01,恆毅力,Grit The Power of Passion and Perseverance,Missing ISBN ZH
S2-02,認知與情緒手冊,Handbook of Cognition and Emotion,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S2-03,情緒與意識,Emotion and Consciousness,Missing ISBN ZH | Missing ISBN EN
S2-04,就怕平庸成為你的人生註解,Fear of being Mediocre,Missing ISBN ZH | Missing ISBN EN
S2-05,不要變成壞掉的大人,Don't Be Broken,Missing ISBN ZH | Missing ISBN EN
S2-06,內在提問,Inner Interrogation,Missing ISBN ZH | Missing ISBN EN
S2-07,放棄的力量,Power of Giving Up,Missing ISBN ZH | Missing ISBN EN
S2-08,練習不想要,Practicing Non Wanting,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S2-09,思考的法則,Rules of Thinking,Missing ISBN ZH
S2-10,機緣力,The Serendipity Mindset,Missing ISBN ZH | Author Detailed Bio Missing
S2-11,原子習慣,Atomic Habits   James Clear,Missing ISBN ZH | Missing ISBN EN
S2-12,與成功有約,Seven Habits of Highly Effective People,Missing ISBN ZH
S2-13,第八個習慣 The 8th,Habit  From Effectiveness to Greatness,Missing ISBN ZH
S2-14,與婚姻有約 The 7,Habits of Highly Effective Marriage,Missing ISBN ZH | Missing ISBN EN
S2-15,我想跟你好好聊聊,Gonna Talk,Missing ISBN EN | Author Detailed Bio Missing
S2-16,幸福之路,The Conquest of Happiness,Missing ISBN ZH | Author Detailed Bio Missing
S2-17,先問為什麼,Start With Why,Missing ISBN ZH
S2-18,納瓦爾寶典,The Almanack of Naval Ravikant,Missing ISBN ZH | Author Detailed Bio Missing
S2-19,創業這條路,The E-Myth Revisited,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S2-20,"從0到1 Zero to One  Notes on Startups, or",How to Build the Future,Missing ISBN ZH
S2-21,不公平優勢,The Unfair Advantage,Missing ISBN ZH
S2-22,隱喻領導力,The Power of Leadership Metaphors,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S2-23,什麼都不教的上司才厲害,,Missing Title EN | Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S2-24,稻盛和夫 中小企業學,,Missing Title EN | Missing ISBN ZH | Missing ISBN EN
S2-25,無權發令也能領導,How to Lead When You are Not in Charge,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S2-26,增長的邏輯,The Logic of Growth   Edmund Phelps,Missing ISBN ZH | Missing ISBN EN
S2-27,下一個現在,The New Megatrends   Marian Salzman,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S2-28,底層邏輯,AI世界的底層邏輯與生存法則,Missing ISBN ZH | Missing ISBN EN
S2-29,人類大歷史,Sapiens  A Brief History of Humankind,Missing ISBN ZH
S2-30,100 Ways to Motivate Yourself,,Missing Title EN | Missing ISBN EN | Author Detailed Bio Missing
S2-31,你就是困住自己的那座山,The Montain is You   Brianna Wiest,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S2-32,我們攜帶的光,The Light We Carry   Michelle Obama,Missing ISBN ZH | Missing ISBN EN
S2-33,大谷翔平   棒球雙刀流現象級傳奇,Shohei Ohtani Baseball's Two Way Legend,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S2-34,改變人生的早起習慣養成   塚本亮,,Missing Title EN | Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S2-35,打開心智,Free Your Mind,Missing ISBN EN
S2-36,世界是平的 大腦是皺的,Live by Design Live by Default,Missing ISBN ZH | Missing ISBN EN
S2-37,信任的秘密,The Code of Trust   Robin Dreeke,Missing ISBN ZH | Missing ISBN EN
S2-38,再忙也要躺好躺滿,The Little Book of Sloth Philosophy,Missing ISBN ZH
S2-39,別讓自責成為一種習慣   根本裕幸,,Missing Title EN | Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S2-40,六頂思考帽,Six Thinking Hats The Power of Parallel Thinking,Missing ISBN ZH | Missing ISBN EN
S2-41,不服從的藝術,The Art of Insubordination,Missing ISBN EN
S2-42,憤怒的勇氣,The Courage to Be Angry,Missing ISBN ZH | Missing ISBN EN
S2-43,盲視效應,Blind Sight,Missing ISBN ZH | Missing ISBN EN
S2-44,勾引,Brand Seduction  How Neuroscience Builds Powerful Brands,Missing ISBN EN
S2-45,購物心理學,Decoded  The Science Behind Why We Buy,Missing ISBN ZH | Author Detailed Bio Missing
S2-46,供應鏈戰爭,Material World A Substantial Story of Our Past and Future,Missing ISBN ZH | Author Detailed Bio Missing
S2-47,一鍵購買,Fulfillment Winning and Losing in One Click America,Missing ISBN ZH
S2-48,"亞馬遜逆向工作法 Working Backwards Insights, Stories, and",Secrets from Inside Amazon,Missing ISBN ZH | Author Detailed Bio Missing
S2-49,規模化效應,The Voltage Effect How to Make Good Ideas Great and Great Ideas Scale,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S2-50,多一法則,The Power of One More The Ultimate Guide to Happiness and Success,Missing ISBN ZH | Author Detailed Bio Missing
S2-51,解決問題 先從盲點開始 プロの思考整理術,,Missing Title EN | Missing ISBN ZH | Missing ISBN EN
S2-52,魯蛇的翻轉人生計畫 凡人くんの人生革命,,Missing Title EN | Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S2-53,學會曼陀羅計畫表 你想要的都得到 一流の達成力,,Missing Title EN | Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S2-54,親愛的那不是你的錯,Como Hacer Que Te pasen Cosas Buenas,Missing ISBN ZH | Author Detailed Bio Missing
S2-55,薩提爾的親密關係修復練習,,Missing Title EN | Missing ISBN ZH | Missing ISBN EN
S2-56,讓身心回歸平衡的姿勢與呼吸調整法,,Missing Title EN | Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S2-57,情緒食療,Emotional Dietary Therapy,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S2-58,全齡顧齒攻略,,Missing Title EN | Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S2-59,吃藥前你必須知道的事,,Missing Title EN | Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S2-60,新斷捨離,,Missing Title EN | Missing ISBN ZH | Missing ISBN EN
S2-61,停損的勝算,Quit The Power of Knowing When to Walk Away,Missing ISBN ZH
S2-62,情緒同理,Emotional Empathy,Missing ISBN ZH | Author Detailed Bio Missing
S2-63,倦怠 為何我們不想工作   波波夫 Exhausted Why We Don’t,Want to Work,Missing ISBN EN | Author Detailed Bio Missing
S2-64,假面社交    李軒洋,Relationship Expert,Missing ISBN EN | Author Detailed Bio Missing
S2-65,底層網紅,Get Rich Or Lie Trying  Symeon Brown,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S2-66,紅人經濟   李檬,The Influencer Economy,Missing ISBN EN
S2-67,譯者即叛徒,Translator is a Traitor,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S2-68,子彈溝通   言語武器化 精準吸睛法,,Missing Title EN | Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S2-69,總統文膽魅力表達課   江原國,,Missing Title EN | Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S2-72,重新丈量世界,Not to Scale   Jamer Hunt,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S2-73,數字裡的故事,Growth From Microorganisms to Megacities,Missing ISBN ZH
S2-74,激活增長,Activating Growth,Missing ISBN ZH | Missing ISBN EN
S2-75,無人地球,Empty Planet The Shock of Global Population Decline,Missing ISBN EN
S2-76,CIA探員教你培養高應變力的孩子,License to Parent,Missing ISBN ZH | Author Detailed Bio Missing
S2-77,CIA教你讓人說出真心話,Get the Truth Former CIA Officers Teach You How to Persuade Anyone to Tell All,Missing ISBN ZH | Author Detailed Bio Missing
S2-78,日本頂尖執事教你察言觀色,Japan Top Butler's Guide for Observation,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S2-79,1秒轉換情緒的51個心理學技巧,,Missing Title EN | Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S2-80,讓世界身心失調的狂愛與恐懼之因,The book of phobias & manias  A history of obsession,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S2-81,起床後的黃金一小時,My Morning Routine How Successful People Start Every Day Inspired,Missing ISBN EN | Author Detailed Bio Missing
S2-82,致勝心態,Psyched Up How the Science of Mental Preparation Can Help You Succeed,Missing ISBN ZH
S2-83,億萬富翁的成功習慣 Millionaire Success Habits The Gateway to Wealth ^0,Prosperity,Missing ISBN ZH | Author Detailed Bio Missing
S2-84,讓幸福流進來的賺錢框架,Good Money Revolution How to Make More Money to Do More Good,Missing ISBN EN
S2-85,有錢人與你的差距 不只是錢,The Billion Dollar Secret,Missing ISBN EN
S2-86,清單革命,The Checklist Manifesto How to Get Things Right,Missing ISBN ZH
S2-87,讓你自帶好運的奇蹟習慣,The Miracle Habits The Secret of Turning Your Moments into Miracles,Missing ISBN ZH
S2-88,關於人生的7項財務思考   謝劍平,,Missing Title EN | Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S2-89,巴菲特勝券在握的12個原則,Buffett Way Hagstrom on Berkshire Principles,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S2-90,巴菲特寫給股東的信,The Essays of Warren Buffett   Lessons for Corporate America,Missing ISBN ZH
S2-91,親愛的股東,Dear Shareholder,Missing ISBN ZH | Author Detailed Bio Missing
S2-92,市場的預兆,How to Listen When Markets Speak,Missing ISBN ZH | Author Detailed Bio Missing
S2-93,投資中最簡單的事   邱國鷺,The simplest thing in Investing,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S2-94,思辯賽局,The Art of Strategy Game Theory for Business and Life,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S2-95,麥凱銷售聖經,The Mackay MBA of Selling in the Real World,Missing ISBN ZH | Author Detailed Bio Missing
S2-96,業務學,A Scientific Sale Technique to control results,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S2-97,領導者的七種原型,The Leadership Gap What Gets Between You and Your Greatness,Missing ISBN ZH | Author Detailed Bio Missing
S2-98,重啟人生,From Strength to Strength,Missing ISBN ZH | Author Detailed Bio Missing
S2-99,勾引大腦 Story or Die How to Use Brain Science to Engage^J Persuade^J and,Change Minds in Business,Missing ISBN ZH | Author Detailed Bio Missing
S2-100,未來駭客,Future Hackers The Indispensable Guide for Curious Minds,Missing ISBN EN | Author Detailed Bio Missing
S2-101,哈佛大學的思辨溝通術,Good Arguments A Debater's Journey,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S3-01,千腦智能理論,A Thousand Brains The New Science of Intelligence,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S3-02,腦力與無限公司,The Brains and Brawn Company   Robert Siegel,Missing ISBN ZH | Missing ISBN EN
S3-03,腦神精行銷學　Brain science for business ビジネスに活かす脳科学,,Missing Title EN | Missing ISBN ZH | Missing ISBN EN
S3-04,All the Brains in the Business,All the Brains in the Business,Missing ISBN ZH | Author Detailed Bio Missing
S3-05,順著大腦來生活,Your Brain at Work Core Principles,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S3-06,我們如何走到現在,Where Good Ideas Come From,Missing ISBN ZH
S3-07,人類的旅程,The Journey of Humanity And the Keys to Human Progress,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S3-08,2100 科技大未來,Physics of the Future How Science Will Shape Human Destiny and Our Daily Lives by t,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S3-09,即將到來的潮汐,The Coming Wave Technology - Power and the Twenty first Century's Greatest Dilemma,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S3-10,好的經濟學,Good Economics for Hard Times,Missing ISBN ZH
S3-11,給予,Give and Take Why Helping Others Drives Our Success,Missing ISBN ZH
S3-12,逆思維,Think Again The Power of Knowing What You Don't Know,Missing ISBN ZH
S3-13,隱性潛能,Hidden Potential The Science of Achieving Greater Things,Missing ISBN ZH
S3-14,內向外的洞見,Outside Insight Navigating a World Drowning in Data,Missing ISBN ZH | Author Detailed Bio Missing
S3-15,把時間買回來,Buy Back Your Time Get Unstuck Reclaim Your Freedom and Build Your Empire,Missing ISBN ZH | Author Detailed Bio Missing
S3-16,強大內心的自我對話習慣,Chatter The Voice in Our Head,Missing ISBN ZH
S3-17,陌生人的力量,The Power of Strangers The Benefits of Connecting in a Suspicious World,Missing ISBN ZH | Author Detailed Bio Missing
S3-18,為什麼要讀書工作Why do we work,Important things to think about to be Happy,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S3-19,生命之源,The Vital Question Energy Evolution and the Origins of Complex Life,Missing ISBN ZH | Author Detailed Bio Missing
S3-20,向世界進擊的糧食學,How to Feed the World,Missing ISBN ZH
S3-21,無限賽局,The Infinite Game   Sinek,Missing ISBN ZH | Missing ISBN EN
S3-22,決策的藝術,Start Stay or Leave The Art of Decision Making,Missing ISBN ZH | Author Detailed Bio Missing
S3-23,情緒跟你以為的不一樣,How Emotions Are Made The Secret Life of the Brain,Missing ISBN ZH
S3-24,情緒的心理構造,The Psychological Construction of Emotion,Missing ISBN ZH
S3-25,完整的力量,My Life in Full,Missing ISBN ZH
S3-26,第一次工作就該懂,The Start-Up of You,Missing ISBN ZH
S3-27,意識究竟從何而來,Self Comes to Mind Constructing the Conscious Brain,Missing ISBN ZH | Author Detailed Bio Missing
S3-28,會講故事的大腦,The Tell Tale Brain A Neuroscientist's Quest for What Makes Us Human,Missing ISBN ZH | Author Detailed Bio Missing
S3-29,為什麼要睡覺,Why We Sleep The New Science of Sleep and Dreams,Missing ISBN ZH
S3-30,細胞之歌,The Song of the Cell An Exploration of Medicine and the New Human,Missing ISBN ZH | Author Detailed Bio Missing
S3-31,夠好的工作,The Good Enough Job Reclaiming Life from Work,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S3-32,個人無限公司,Maximize Yourself Career x Side job,Missing ISBN ZH | Missing ISBN EN
S3-33,我們成了消耗品,The Expendables,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S3-34,五維學習力,Five Dimensions of Learning,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S3-35,過載,Organized Mind  Thinking Straight in the Age of Information Overload,Missing ISBN ZH | Author Detailed Bio Missing
S3-36,少，但是更好,Essentialism,Missing ISBN ZH
S3-37,The Successful Speaker,The Successful Speaker,Missing ISBN ZH | Author Detailed Bio Missing
S3-38,當上主管後難道只能默默崩潰,The Making of a Manager What to Do When Everyone Looks to You,Missing ISBN EN | Author Detailed Bio Missing
S3-39,心念的力量,The Expectation Effect How Your Mindset Can Change Your World,Missing ISBN ZH | Missing ISBN EN
S3-40,勇氣在召喚,The Daily Stoic,Missing ISBN ZH | Missing ISBN EN
S3-41,創造與漫想,Invent & Wander The Collected Writings of Jeff Bezos,Missing ISBN ZH | Author Detailed Bio Missing
S3-42,南計畫,The Pumpkin Plan - A Simple Strategy to Grow a Remarkable Business in Any Field,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S3-43,1分鐘GPS溝通術,The First Minute    How to Start Conversations That Get Results,Missing ISBN EN | Author Detailed Bio Missing
S3-44,掌控演講,Master Public Speech,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S3-45,誰說人是誠實的,The Honest Truth About Dishonesty,Missing ISBN ZH
S3-46,與逆境同行,Failing Forward  Turning Mistakes into Stepping Stones,Missing ISBN EN | Author Detailed Bio Missing
S3-47,如何讓人改變想法,How Minds Change,Missing ISBN ZH | Author Detailed Bio Missing
S3-48,哈佛最受歡迎的快樂心理學,The Happiness Advantage,Missing ISBN ZH | Author Detailed Bio Missing
S3-49,情緒智商,Emotional Intelligence,Missing ISBN ZH | Missing ISBN EN
S3-50,鬆綁你的焦慮習慣,Unwinding Anxiety  New Science for Breaking the Worry Habit,Missing ISBN ZH | Missing ISBN EN
S3-51,習慣的力量,The Power of Habit  Understanding Our Daily Routines,Missing ISBN ZH | Missing ISBN EN
S3-52,創意公司,Creativity Inc - Overcoming the Hidden Forces That Stand in the Way of True Inspiration,Missing ISBN ZH | Missing ISBN EN
S3-53,創意自信,Creative Confidence,Missing ISBN ZH
S3-54,斯多葛主義小書,The Little Book of Stoicism,Missing ISBN ZH | Author Detailed Bio Missing
S3-55,改善-改變命運的一小步,One Small Step Can Change Your Life  The Kaizen Way,Missing ISBN ZH | Author Detailed Bio Missing
S3-56,靜心,Stillness Is the Key,Missing ISBN ZH
S3-57,正向的關鍵 - 舒適,The Key to Positivity  A Return to Comfort,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S3-58,別再脫離舒適區,The Comfort Zone  Your Path to Lasting Success,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S3-59,3 Minute Positivity Journal - Boost Your Mood^J Change Your Life,,Missing Title EN | Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S3-60,擁抱同理心,Embrace Your Empathy  Making Sensitivity Your Strength,Missing ISBN ZH
S3-61,策略思考的六項訓練,The Six Disciplines of Strategic Thinking,Missing ISBN EN | Author Detailed Bio Missing
S3-62,讀新的藝術,The Art of Reading Minds  Understand Others,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S3-63,內在孩童,The Child in You  Understanding Your Inner World,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S3-64,不確定下的自在,Comfortable with Uncertainty,Missing ISBN ZH | Author Detailed Bio Missing
S3-65,心智重組 Declutter Your Mind  Stop Worrying^J Relieve Anxiety^J,Eliminate Negative Thinking,Missing ISBN ZH | Author Detailed Bio Missing
S3-66,清晰思考的藝術,The Art of Thinking Clearly,Missing ISBN ZH
S3-67,工作 新律,The New Rules of Work,Missing ISBN ZH
S3-68,人生勝利聖經,Tools of Titans The Tatics Routines and Habits of Billionaires Icons and World class Pe,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S3-69,超速學習,Ultralearning Master Hard Skills Outsmart Accelerate,Missing ISBN ZH | Missing ISBN EN
S3-70,如何跟誰都能聊,How to Talk to Anyone,Missing ISBN ZH | Author Detailed Bio Missing
S3-71,複利效應,The Compound Effect  Success Through Small Choices,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
S3-72,極度專注力,Hyperfocus  Sharpening Your Focus in a Distracted World,Missing ISBN ZH | Missing ISBN EN
S3-73,自律的科學,The Science of Self Discipline,Missing ISBN ZH | Author Detailed Bio Missing
S3-74,溝通技巧訓練,Communication Skills Training,Missing ISBN ZH
S3-75,強化你的溝通技巧,Improve Your Communication Skills,Missing ISBN ZH
S3-76,有效溝通的科學,The Science of Effective Conversation,Missing ISBN ZH | Missing ISBN EN
S3-77,社會技巧引導,The Social Skills Guidebook,Missing ISBN ZH | Author Detailed Bio Missing
S3-78,努力卻不費力,Effortless  Make it Easier to Do what Matters Most,Missing ISBN ZH
S3-79,高情商習慣,Emotional Intelligence  Your Habits for Success,Missing ISBN ZH | Missing ISBN EN | Author Detailed Bio Missing
